"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200703752-00","긴급","(가칭)진건3유치원 신축 전기공사 감리용역","경기도교육청 경기도구리남양주교육지원청","경기도교육청 경기도구리남양주교육지원청","제한경쟁","2020/07/03 14:10(2020/07/09 10:00)"
"용역","20200700492-00","긴급","2단계(´20~´22) 한·중 대기질 공동연구(Ⅰ)","조달청 인천지방조달청","환경부 국립환경과학원","일반(총액)협상에의한계약","2020/07/03 14:07(2020/07/22 10:00)"
"용역","20200703740-00","일반","신관동(법원 옆, 중로1-47호) 도시계획도로 확포장사업 실시설계용역","충청남도 공주시","충청남도 공주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 14:05(2020/07/09 10:00)"
"용역","20200703724-00","일반","과학영농시설 증축 개보수공사 기본 및 실시설계용역","전라북도 고창군 농업기술센터","전라북도 고창군 농업기술센터","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 14:05(2020/07/13 16:00)"
"용역","20200703719-00","일반","「원양산업 실태조사」용역","한국원양산업협회","한국원양산업협회","일반(총액)협상에의한계약","2020/07/03 14:03(-)"
"용역","E012005950-00","일반","망월동 ㈜세움건설 20,000kW 대용량 신설공사 감리용역[PQ](하남)","한국전력공사","재무자재부","일반(총액)","2020/07/03 14:03(2020/08/13 14:00)"
"용역","20200703727-00","일반","청주여자교도소 생활계폐기물 처리용역 입찰","법무부 대전지방교정청 청주여자교도소","법무부 대전지방교정청 청주여자교도소","제한(단가)","2020/07/03 14:02(2020/07/14 10:00)"
"용역","20200703732-00","일반","교육서비스 만족도 조사 및 빅데이터 분석","신성대학교 산학협력단","신성대학교 산학협력단","일반(총액)협상에의한계약","2020/07/03 14:02(-)"
"용역","20200703726-00","일반","순천고 교사동 개축공사 통신분야 설계용역","전라남도교육청","전라남도교육청","수의(총액)소액수의","2020/07/03 14:01(2020/07/09 10:00)"
"용역","20200703728-00","긴급","풍양중 교실 증축공사 감리용역","경기도교육청 경기도구리남양주교육지원청","경기도교육청 경기도구리남양주교육지원청","제한경쟁","2020/07/03 14:00(2020/07/09 10:00)"
"용역","B5202002231-00","일반","2020년 울릉군 지방상수도 현대화사업 하반기 누수탐사 용역","한국수자원공사","한국수자원공사 경북지역협력단","제한경쟁","2020/07/03 14:00(2020/07/09 14:00)"
"용역","K20S108000-00","일반","2020년 고리본부 사옥 및 사택공용시설 방역 용역","한국수력원자력주식회사","한국수력원자력(주) 고리원자력본부","일반(총액)","2020/07/03 14:00(2020/07/09 12:00)"
"용역","20200703695-00","일반","Sh수협보험 사고공제금 서면심사 위탁업체 선정","수협중앙회","수협중앙회","제한(총액)협상에의한계약","2020/07/03 13:58(-)"
"용역","20200703710-00","일반","보은산 시군창의사업 장애물 없는 생활환경(BF) 인증 용역","한국농어촌공사 전남지역본부 강진지사","한국농어촌공사 전남지역본부 강진지사","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 13:57(2020/07/08 10:00)"
"용역","20200703707-00","일반","2020년 사업단 재산 종합보험 가입","한국농어촌공사 화안사업단","한국농어촌공사 화안사업단","수의(총액)소액수의","2020/07/03 13:56(2020/07/09 10:00)"
"용역","20200703711-00","일반","의료기기 해외시장 판로개척 패키지 지원 용역","재단법인 대구테크노파크","재단법인 대구테크노파크","제한(총액)협상에의한계약","2020/07/03 13:55(2020/07/14 17:00)"
"용역","20200702220-00","일반","광주소프트웨어마이스터고등학교 여름전공능력보충심화캠프 위탁용역 2단계(규격가격동시) 입찰","광주광역시교육청 광주소프트웨어마이스터고등학교","광주광역시교육청 광주소프트웨어마이스터고등학교","제한(총액)규격가격동시","2020/07/03 13:54(2020/07/14 10:00)"
"용역","20200703522-00","긴급","2020년도 천체투영실 영상물 임차 용역","경상북도교육청 경상북도교육청과학원","경상북도교육청 경상북도교육청과학원","제한(총액)규격가격동시","2020/07/03 13:53(2020/07/10 14:00)"
"용역","20200703702-00","일반","경북 소방헬기 2호기(AS365N3) 고장부품 수리용역","경상북도","경상북도 소방본부","일반(총액)","2020/07/03 13:52(2020/07/09 10:00)"
"용역","20200703487-00","긴급","정보통신 회선망 고도화 사업","조달청 인천지방조달청","학교법인한국폴리텍","일반(총액)협상에의한계약","2020/07/03 13:50(2020/07/15 14:00)"
"용역","20200703086-00","긴급","현장대원 스마트인명구조경보기 확대 사업","조달청 인천지방조달청","경기도 소방재난본부","수의(총액)","2020/07/03 13:49(2020/07/08 15:00)"
"용역","20200703681-00","일반","국립중앙박물관 정보시스템 G클라우드 전환 컨설팅","문화체육관광부 국립중앙박물관","문화체육관광부 국립중앙박물관","일반(총액)협상에의한계약","2020/07/03 13:49(2020/07/13 10:00)"
"용역","20200703252-00","일반","인공지능기반 적응형 보안시스템 3차 구축 위탁감리","조달청","한국정보화진흥원","수의(총액)","2020/07/03 13:47(2020/07/09 12:00)"
"용역","P2020461-01","변경","한수원 발전운영 ERP고도화 사업(방사선) 인력지원","한전KDN(주)","한전KDN(주)","수의(총액)","2020/07/03 13:45(2020/07/03 14:30)"
"용역","20200703654-00","긴급","대구보건학교외 4교 통학버스 회차로 정비사업 폐기물처리용역","대구광역시교육청 대구보건학교","대구광역시교육청 대구보건학교","수의(총액)소액수의","2020/07/03 13:44(2020/07/08 10:00)"
"용역","20200703678-00","일반","의당면 상수도 관망 GIS DB 구축 용역","충청남도 공주시","충청남도 공주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 13:44(2020/07/09 10:00)"
"용역","20200703658-00","긴급","2020년 특별전시 대한제국 황제의 궁궐 전시 도록 및 인쇄홍보물 제작 용역","문화재청 궁능유적본부 덕수궁관리소","문화재청 궁능유적본부 덕수궁관리소","제한(총액)협상에의한계약","2020/07/03 13:43(2020/07/14 10:00)"
"용역","20200703671-00","일반","2020년 세종학당 한국어 교원 양성과정 온라인 한국어 교육 실습 운영","세종학당재단","세종학당재단","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 13:41(2020/07/10 10:00)"
"용역","E122000110-00","일반","[긴급] 튜브정보 및 제조운영시스템 고도화 용역","한전원자력연료주식회사","동반성장부","제한(총액)","2020/07/03 13:41(2020/07/14 12:00)"
"용역","20200701029-00","일반","2020 화학물질 유해성시험자료 생산(1-1)","조달청 인천지방조달청","한국환경공단","수의(총액)","2020/07/03 13:39(2020/07/08 11:30)"
"용역","P2020460-01","변경","2020년 메일SW(Terrace Mail Suite V7.22) 유지보수","한전KDN(주)","한전KDN(주)","수의(총액)","2020/07/03 13:38(2020/07/06 11:00)"
"용역","20200703664-00","재입찰","근무성적 평정 및 승진심사시스템 유지관리 용역","경찰청","경찰청","일반(총액)협상에의한계약","2020/07/03 13:37(2020/07/06 10:00)"
"용역","20200703655-00","일반","VAN사업 경쟁력 강화를 위한 빅데이터 서비스 2단계 추진","금융결제원","금융결제원","일반(총액)협상에의한계약","2020/07/03 13:36(-)"
"용역","20200703656-00","긴급","맑은물관리센터 하수처리수 재이용사업 건설사업관리용역(지명경쟁)","경기도 시흥시","경기도 시흥시","지명경쟁","2020/07/03 13:36(2020/07/09 10:00)"
"용역","20200703637-00","일반","ICT 기반의 한국 농업기계화 방향전환 연구","농림축산식품부","농림축산식품부","제한(총액)협상에의한계약","2020/07/03 13:35(2020/07/20 10:00)"
"용역","20200703649-00","일반","서울시 한의약 육성정책 개발 연구","서울특별시공공보건의료재단","서울특별시공공보건의료재단","제한(총액)협상에의한계약","2020/07/03 13:34(2020/07/15 11:00)"
"용역","20200703635-00","일반","예산군 소규모공공하수(구만, 종경) 설치사업 CCTV 조사용역","한국환경공단 충청권지역본부","한국환경공단 충청권지역본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 13:33(2020/07/10 10:00)"
"용역","P2020459-01","변경","상생과 협력의 노사문화전략 수립 컨설팅","한전KDN(주)","한전KDN(주)","수의(총액)","2020/07/03 13:33(2020/07/03 15:25)"
"용역","20200703633-00","일반","위성영상기반 인공지능기술 활용 불법 건축물 의심 지역 탐지 기술 개발","한국항공우주연구원","한국항공우주연구원","제한(총액)규격가격동시","2020/07/03 13:31(2020/07/10 10:00)"
"용역","20200703089-00","일반","e-DASAN 감사시스템 기능개선 사업","조달청 인천지방조달청","경기도교육청","수의(총액)","2020/07/03 13:31(2020/07/08 15:00)"
"용역","20200703284-01","취소","보은산 시군창의사업 장애물 없는 생활환경(BF) 인증 용역","한국농어촌공사 전남지역본부 강진지사","한국농어촌공사 전남지역본부 강진지사","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 13:31(2020/07/08 10:00)"
"용역","20200703634-00","일반","월미동 외 1건 상수도 관망 GIS DB 구축용역","충청남도 공주시","충청남도 공주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 13:30(2020/07/09 10:00)"
"용역","20200703315-00","일반","2020년 공연예술창작산실 연간 통합홍보 운영 용역","한국문화예술위원회","한국문화예술위원회","일반(총액)협상에의한계약","2020/07/03 13:23(2020/07/17 17:00)"
"용역","20200703289-00","긴급","전자(세금)계산서 표준화 검증 개발","조달청 대전지방조달청","국세청","수의(총액)","2020/07/03 13:20(2020/07/07 15:00)"
"용역","20200702187-00","일반","죽곡초 연립관사 및 급식실 증개축 공사 건설폐기물 처리 용역 소액 수의견적 안내 공고","전라남도교육청 전라남도곡성교육지원청","전라남도교육청 전라남도곡성교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 13:19(2020/07/09 10:00)"
"용역","20200641138-00","긴급","서울대학교 박물관 생물표본 특별전(가제) 전시물 제작.설치","서울대학교 박물관","서울대학교 박물관","제한(총액)협상에의한계약","2020/07/03 13:18(2020/07/13 14:00)"
"용역","20200703602-00","긴급","공공분야의 인공지능 촉진 및 활성화를 위한 방안 연구","행정안전부","행정안전부","제한(총액)협상에의한계약","2020/07/03 13:18(2020/07/13 10:00)"
"용역","20200703467-00","일반","무안공항 장비고 신축 및 기존시설 개량 설계용역","한국공항공사 제주지역본부","한국공항공사 제주지역본부","일반경쟁","2020/07/03 13:18(2020/08/06 10:00)"
"용역","E012005944-00","일반","2020년도 서수원지사 배전 지하시설물 위치탐사용역","한국전력공사","재무자재부","제한(총액)","2020/07/03 13:18(2020/07/13 14:00)"
"용역","20200703601-00","긴급","시흥시 노후 하수관로 정비사업 건설사업관리용역(지명경쟁)","경기도 시흥시","경기도 시흥시","지명경쟁","2020/07/03 13:17(2020/07/09 10:00)"
"용역","20200703516-00","긴급","중왕항 진입도로 정비공사 도시관리계획 결정 및 실시설계용역","충청남도 서산시","충청남도 서산시","제한경쟁","2020/07/03 13:16(2020/07/09 10:00)"
"용역","20200702676-00","일반","공주대학교 인문사회과학대학관 증축 및 리모델링공사 상주감리 용역","조달청 대전지방조달청","공주대학교","지역","2020/07/03 13:15(2020/07/14 10:00)"
"용역","20200639672-01","취소","양구군 한전리마을 LPG배관망 구축사업 건설폐기물 처리용역 소액수의 견적 공고","재단법인 한국엘피지배관망사업단","재단법인 한국엘피지배관망사업단","수의(총액)소액수의","2020/07/03 13:13(2020/07/06 14:00)"
"용역","20200700487-01","취소","정보시스템 이전 용역","조달청 인천지방조달청","인천항만공사","제한(총액)협상에의한계약","2020/07/03 13:11(2020/07/16 10:00)"
"용역","E012005946-00","일반","U-CDS 상세설계, 제작 및 시공용역","한국전력공사","경영지원부","제한(총액)","2020/07/03 13:10(2020/08/13 13:00)"
"용역","20200703586-00","일반","주요국의 유료방송, 인터넷기반 영상 플랫폼 및 콘텐츠 동향 조사와 방송재원 비교 분석","정보통신정책연구원","정보통신정책연구원","일반(총액)협상에의한계약","2020/07/03 13:08(-)"
"용역","20200703575-00","일반","충청북도학생수련원(제천분원) 침구류 세탁 용역 단가 소액수의 견적 제출 안내 공고","충청북도교육청 충청북도학생수련원","충청북도교육청 충청북도학생수련원","수의(단가)소액수의","2020/07/03 13:06(2020/07/08 14:00)"
"용역","20200703574-00","일반","(가칭)동탄16유 외1교 신축 건설폐기물처리 용역","경기도교육청 경기도화성오산교육지원청","경기도교육청 경기도화성오산교육지원청","수의(총액)소액수의","2020/07/03 13:05(2020/07/09 10:00)"
"용역","20200703136-00","일반","김천중앙중학교 외 1교(개령초등학교) 폐기물처리용역 수의견적 제출 안내공고","경상북도교육청 경상북도김천교육지원청","경상북도교육청 경상북도김천교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 13:01(2020/07/08 10:00)"
"용역","20200703117-00","일반","점촌고등학교 다양한 학교운동장 조성공사 폐기물처리용역(폐합성수지) 수의견적 제출 안내공고","경상북도교육청 경상북도김천교육지원청","경상북도교육청 경상북도김천교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 12:58(2020/07/08 10:00)"
"용역","20200703357-00","일반","학생선수 학습지원 영상 콘텐츠 개발 및 YouTube 채널 운영 사업","조달청 충북지방조달청","한국교육개발원","제한(총액)협상에의한계약","2020/07/03 12:57(2020/07/14 10:00)"
