업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),,
용역,20200523596-00,일반,2020년 조림지 가꾸기 사업(문막부론지구) 실시설계 용역,강원도 원주시,강원도 원주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 18:19(2020/05/25 10:00),,
용역,20200523587-00,일반,(재)광주디자인진흥원 통합정보시스템 유지보수 용역,재단법인광주디자인진흥원,재단법인광주디자인진흥원,제한(총액),2020/05/19 18:16(2020/05/27 14:00),,
용역,20200523589-00,긴급,2020년 NC 다이노스 트랙맨 시스템 용역 입찰 공고,(주)엔씨다이노스,(주)엔씨다이노스,일반(총액),2020/05/19 18:16(2020/05/22 16:00),,
용역,20200523583-00,일반,영암 교동지구 도시개발사업 실시계획 수립용역 사업수행능력평가서 제출 안내,전라남도 영암군,전라남도 영암군,일반경쟁,2020/05/19 18:13(-),,
용역,20200523579-00,일반,"2020년 조림지 가꾸기 사업(어린나문, 덩굴)실시설계 용역",강원도 원주시,강원도 원주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 18:13(2020/05/25 10:00),,
용역,20200523574-00,일반,국도24호선 식정마을 앞 인도개설공사 폐기물 처리용역,전라북도 남원시,전라북도 남원시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 18:10(2020/05/22 14:00),,
용역,20200515706-01,변경,지역특화 임대형 스마트팜 조성사업 기본 및 실시설계 용역,한국농어촌공사 강원지역본부,한국농어촌공사 강원지역본부,일반경쟁,2020/05/19 18:09(2020/06/03 16:00),,
용역,20200523554-00,일반,2020년 헌화터널 정밀안전점검(하자검사) 용역,서울시설공단,서울시설공단,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 18:07(2020/05/25 12:00),,
용역,20200523565-00,일반,주택건설공사 감리자(건축) 모집[영암 월곡 스마트아파트(월곡 임대) 신축공사],전라남도 영암군,전라남도 영암군,일반경쟁,2020/05/19 18:06(2020/05/26 10:00),,
용역,20200523548-00,일반,성화성 內 『K-Fashion 디자이너 대구관』 운영위탁,한국패션산업연구원,한국패션산업연구원,일반(총액)협상에의한계약,2020/05/19 18:03(2020/06/09 11:00),,
용역,20200523459-01,변경,정읍시립도서관 도서검색서비스 개선 및 독서플랫폼 구축,전라북도 정읍시,전라북도 정읍시,일반(총액),2020/05/19 18:03(2020/05/25 14:00),,
용역,20200523557-00,일반,고수7리뒷마도시계획도로(소로3-38)개설사업 실시설계용역,경상북도 청도군,경상북도 청도군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 18:02(2020/05/25 10:00),,
용역,20200522915-00,일반,(긴급) 2020년도 신입직원 전문화교육 연수시설 임차용역,한국산업안전보건공단 산업안전보건교육원,한국산업안전보건공단 산업안전보건교육원,일반(총액)협상에의한계약,2020/05/19 18:02(2020/06/09 10:00),,
용역,20200522674-00,일반,2020년 독립운동사료 데이터베이스 구축 사업,조달청,국가보훈처,제한(총액)협상에의한계약,2020/05/19 18:02(2020/06/02 10:00),,
용역,20200522143-00,일반,해상교통관제(VTS) 교육훈련센터 구축 설계용역,조달청 인천지방조달청,해양경찰청,수의(설계공모),2020/05/19 18:02(-),,
