업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),
용역,20200519136-00,긴급,2020년 미래기술마당 종합정보체계 고도화 용역(SW개발) 입찰 공고,과학기술일자리진흥원,과학기술일자리진흥원,제한(총액)협상에의한계약,2020/05/15 16:53(-),
용역,20200519137-00,긴급,초소형전기차 충전인프라 최적화 및 충전시스템 운영방안 수립,마스타자동차관리(주),마스타자동차관리(주),일반(총액)협상에의한계약,2020/05/15 16:53(2020/05/22 17:00),
용역,20200519105-00,일반,‘20년 경상북도 공공급속충전시설 전기안전관리대행,한국환경공단,한국환경공단,수의(총액)소액수의,2020/05/15 16:52(2020/05/21 15:00),
용역,20200519063-00,일반,무등초 물탱크실 증축 및 기타시설공사 건설폐기물처리용역 수의계약 안내 공고,광주광역시교육청 광주광역시동부교육지원청,광주광역시교육청 광주광역시동부교육지원청,수의(총액)소액수의,2020/05/15 16:51(2020/05/21 10:00),
용역,20200519070-00,일반,제주본부 신사옥 건립공사 건설사업관리(CM)용역,조달청,한국전력거래소,일반경쟁(종합심사),2020/05/15 16:51(2020/06/23 17:00),
용역,20200518472-01,변경,소규모 수도시설 개량사업 GIS DB구축 용역,제주특별자치도,제주특별자치도,제한경쟁,2020/05/15 16:51(2020/05/22 14:00),
용역,20200519054-01,취소,‘20년 경상남도 공공급속충전시설 전기안전관리대행,한국환경공단,한국환경공단,수의(총액)소액수의,2020/05/15 16:51(2020/05/21 15:00),
용역,20200519131-00,긴급,2020년 미래기술마당 종합정보체계 시스템고도화 사업(HW구매) 입찰 공고,과학기술일자리진흥원,과학기술일자리진흥원,제한(총액)협상에의한계약,2020/05/15 16:50(-),
용역,20200517672-00,일반,디지털 TRS무선통신장비(EADS) 유지보수 용역,조달청 서울지방조달청,경찰청 서울특별시지방경찰청,제한(총액)협상에의한계약,2020/05/15 16:49(2020/05/27 10:00),
용역,20200519122-00,일반,"도심숲 조성사업(강선1단지, 후곡16단지 사잇길) 폐기물 처리용역",경기도 고양시,경기도 고양시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 16:48(2020/05/21 10:00),
용역,20200519012-00,긴급,보령수협 수산시장(위판장) 시설개선 지원사업 건설사업관리용역,보령수산업협동조합,보령수산업협동조합,일반경쟁,2020/05/15 16:48(2020/05/21 10:00),
용역,20200519121-00,일반,제2차 성북구 인권증진기본계획 수립 연구 용역,서울특별시 성북구,서울특별시 성북구,제한(총액)협상에의한계약,2020/05/15 16:46(-),
용역,20200519107-00,일반,송림로 외 2개소 보도정비공사 폐기물 처리 용역,인천광역시 동구,인천광역시 동구,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 16:45(2020/05/21 10:00),
용역,20200518864-00,일반,월산 마을만들기 지역역량강화 용역,전라남도 영광군,전라남도 영광군,제한(총액),2020/05/15 16:45(2020/05/20 17:00),
용역,20200518586-00,일반,내동 상상이상 복합문화센터 건립 기본 및 실시설계 용역,조달청,충청남도 논산시,수의(설계공모),2020/05/15 16:44(-),
용역,20200518836-01,변경,수입동향시스템을 활용한 2020 수입영향 조사,산업통상자원부,산업통상자원부,일반(총액)협상에의한계약,2020/05/15 16:43(-),
용역,20200519103-00,긴급,2020 주요간선도로 대학로 및 공단대로 아스콘포장공사 폐기물처리용역,전라북도 군산시,전라북도 군산시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 16:42(2020/05/21 12:00),
용역,20200519093-00,긴급,2020년 부산광역시청 공용차량 보험 가입,부산광역시,부산광역시,제한(총액),2020/05/15 16:41(2020/05/21 10:00),
용역,20200519090-00,긴급,방치폐기물 위탁처리용역(단가계약),전라남도 보성군,전라남도 보성군,수의(단가)소액-견적입찰(2인 이상 견적 제출),2020/05/15 16:39(2020/05/20 17:00),
용역,20200519091-00,긴급,2020년 산업경쟁력조사(폴리에틸렌),산업통상자원부,산업통상자원부,일반(총액)협상에의한계약,2020/05/15 16:38(-),
용역,20200510592-01,취소,2020년 상반기 구조구급대원 건강검진 수의계약 견적제출 안내,경상북도 상주소방서,경상북도 상주소방서,수의(총액)소액수의,2020/05/15 16:35(2020/05/18 14:10),
용역,20200519078-00,긴급,2020년 산업경쟁력조사(스테인리스스틸 냉연강판/열연강판),산업통상자원부,산업통상자원부,일반(총액)협상에의한계약,2020/05/15 16:34(-),
용역,20200518857-00,일반,남산 마을만들기 지역역량강화 용역,전라남도 영광군,전라남도 영광군,제한(총액),2020/05/15 16:34(2020/05/20 17:00),
용역,20200519062-00,긴급,2020년 북항고가교 정밀안전진단용역,인천광역시 종합건설본부,인천광역시 종합건설본부,제한경쟁,2020/05/15 16:32(2020/05/21 10:00),
용역,20200518945-00,긴급,서울시 제설현장관리시스템 재구축을 위한 정보화전략계획(ISP) 수립용역,서울특별시,서울특별시,제한(총액)협상에의한계약,2020/05/15 16:32(2020/05/26 16:00),
