"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200704762-00","일반","문화기술포럼 운영대행","(재)경기콘텐츠진흥원","(재)경기콘텐츠진흥원","제한(총액)협상에의한계약","2020/07/06 11:08(-)"
"용역","20200704792-00","일반","Dytran을 이용한 항공기 하드랜딩 충격 해석 지원 용역","국방과학연구소","국방과학연구소","일반(총액)규격가격동시","2020/07/06 11:07(2020/07/20 14:00)"
"용역","20200702801-01","취소","하수관로 신설(확충)사업 재송동 잔여지 일원 하수관로 UIS 구축 용역","부산광역시 해운대구","부산광역시 해운대구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 11:07(2020/07/08 10:15)"
"용역","20200704794-00","일반","한의학 표준개발의 경제적 파급효과 분석 용역","한국한의학연구원","한국한의학연구원","제한(총액)협상에의한계약","2020/07/06 11:04(-)"
"용역","B5202002248-00","일반","청송군 지방상수도 현대화사업 유지관리시스템 구축 용역","한국수자원공사","한국수자원공사 경북지역협력단","제한경쟁","2020/07/06 11:00(2020/07/14 17:00)"
"용역","20200704572-01","취소","진북면 정곡마을 진출입로 정비공사 폐기물처리용역","경상남도 창원시 마산합포구","경상남도 창원시 마산합포구","수의(총액)소액수의","2020/07/06 10:59(2020/07/10 15:00)"
"용역","20200704783-00","일반","코로나19 대응 화상상담 통역 관리 및 운영 대행","대한무역투자진흥공사","대한무역투자진흥공사","제한(총액)협상에의한계약","2020/07/06 10:55(2020/07/17 10:00)"
"용역","20200704621-01","변경","부산정보고등학교 석면 폐기물 처리용역(재공고)","부산광역시교육청 부산정보고등학교","부산광역시교육청 부산정보고등학교","제한(총액)","2020/07/06 10:51(2020/07/09 10:00)"
"용역","20200704757-00","긴급","2020학년도 하계 글로벌확산프로그램 (해외현장실습역량강화교육 영어) 위탁운영","우석대학교","우석대학교","일반(총액)규격가격동시","2020/07/06 10:49(-)"
"용역","20200704745-00","긴급","경북해양과학연구소 해양환경조사 수중글라이더 장비 임차","경북해양과학연구소","경북해양과학연구소","일반(총액)","2020/07/06 10:42(2020/07/13 11:00)"
"용역","20200704752-00","일반","울산광역시 북구 실버케어센터 건립공사 건축설계공모","울산광역시 북구","울산광역시 북구","일반경쟁","2020/07/06 10:42(-)"
"용역","E012005967-00","일반","목동공동구 내 등촌D/L 비난연케이블 교체공사 감리용역","한국전력공사","재무자재부","제한(총액)","2020/07/06 10:42(2020/07/14 13:00)"
