"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입찰마감일시)"
"용역","20200613954-00","일반","안동시 도시교통정비기본계획 및 중기계획 수립용역","경상북도 안동시","경상북도 안동시","지명경쟁","2020/06/10 18:46(2020/06/18 12:00)"
"용역","20200615749-00","긴급","동창천 재해위험지역정비사업 환경영향평가용역 수행능력평가서 제출안내공고","경상북도 청도군","경상북도 청도군","일반경쟁","2020/06/10 18:45(-)"
"용역","20200615047-00","일반","단파대 전파감시운용시스템 유지보수용역(2년 장기계속계약)","조달청 서울지방조달청","과학기술정보통신부 중앙전파관리소","수의(총액)","2020/06/10 18:43(2020/06/16 11:00)"
"용역","20200615736-00","일반","북이면 달성지구 농촌다움 복원사업 건립공사 기본 및 실시설계용역(소액수의)","전라남도 장성군","전라남도 장성군","수의(총액)소액수의","2020/06/10 18:41(2020/06/16 10:00)"
"용역","20200615729-00","일반","영오권역종합개발사업 실시설계 용역 견적제출 공고","경상북도 칠곡군","경상북도 칠곡군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 18:35(2020/06/16 10:00)"
"용역","20200615727-00","일반","2020년 숙박여행 기초통계조사 용역","한국문화관광연구원","한국문화관광연구원","제한(총액)협상에의한계약","2020/06/10 18:34(2020/06/22 14:00)"
"용역","20200615726-00","일반","충북과학기술혁신원 홈페이지 구축 용역","재단법인충청북도지식산업진흥원","재단법인충청북도지식산업진흥원","제한(총액)협상에의한계약","2020/06/10 18:32(-)"
"용역","20200615717-00","일반","낙안~상사간 국가지원지방도 확포장공사 건설폐기물(폐아스콘) 처리용역","전라남도","전라남도","일반(총액)","2020/06/10 18:32(2020/06/26 10:00)"
"용역","20200615715-00","일반","북이면 달성지구 농촌다움 복원사업 주변정비공사 실시설계용역(소액수의)","전라남도 장성군","전라남도 장성군","수의(총액)소액수의","2020/06/10 18:30(2020/06/16 10:00)"
"용역","20200615718-00","일반","삼청3리 기초생활인프라사업 석면해체 비산정도측정 용역 견적제출 공고","경상북도 칠곡군","경상북도 칠곡군","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 18:30(2020/06/16 10:00)"
"용역","20200615684-00","일반","2020년 정보시스템 인프라 보강사업","국민건강보험공단","국민건강보험공단","일반(총액)협상에의한계약","2020/06/10 18:29(2020/07/21 11:00)"
"용역","20200615708-00","일반","NSR 신규 정보시스템 인프라 구축 용역","국가보안기술연구소","국가보안기술연구소","제한(총액)협상에의한계약","2020/06/10 18:25(2020/07/20 11:30)"
"용역","20200615679-00","일반","삼청3리 기초생활인프라사업 석면해체공사 지정폐기물 처리용역 전자입찰 공고","경상북도 칠곡군","경상북도 칠곡군","일반(총액)","2020/06/10 18:24(2020/06/16 10:00)"
"용역","20200612185-00","긴급","통합회원관리시스템 고도화사업","조달청","충북 청주시 시설관리공단","제한(총액)협상에의한계약","2020/06/10 18:23(2020/06/30 10:00)"
"용역","20200615699-00","일반","우즈베키스탄 국가전자무역플랫폼 구축사업(1단계-2차년도) 기자재 구매/설치","주식회사 한국무역정보통신","주식회사 한국무역정보통신","일반(총액)협상에의한계약","2020/06/10 18:22(2020/06/16 11:00)"
"용역","20200614768-00","일반","충남형 대기질 분석·진단시스템 고도화 용역","조달청","충청남도 보건환경연구원","제한(총액)협상에의한계약","2020/06/10 18:21(2020/06/23 10:00)"
"용역","2020-0284-00","일반","인천국제공항 기능연속성계획 수립 용역","인천국제공항공사","인천국제공항공사","일반(총액)협상에의한계약","2020/06/10 18:21(2020/07/01 16:00)"
"용역","20200614464-00","일반","청주시 도서관 정보시스템 통합유지보수 용역","조달청","충청북도 청주시 도서관평생학습본부 청주시립도서관","제한(총액)협상에의한계약","2020/06/10 18:20(2020/07/01 10:00)"
"용역","20200614442-00","일반","전자정부 클라우드 플랫폼 구축 SW분리발주(AI음성인식)","조달청","한국정보화진흥원","제한(총액)협상에의한계약","2020/06/10 18:20(2020/06/22 10:00)"
"용역","20200603653-02","취소","NSR 신규 정보시스템 인프라 구축 용역","국가보안기술연구소","국가보안기술연구소","제한(총액)협상에의한계약","2020/06/10 18:18(2020/07/13 11:30)"
"용역","20200614756-00","일반","파주 미래유산 기본계획 수립 용역","경기도 파주시","경기도 파주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 18:17(2020/06/16 10:00)"
"용역","20200615681-00","일반","자원봉사관리자 직무분석 및 교과목 가이드라인 개발 연구용역","행정안전부","행정안전부","제한(총액)협상에의한계약","2020/06/10 18:17(2020/06/22 10:00)"
"용역","20200614887-00","일반","정동~심곡항 어촌뉴딜300사업 역량강화사업용역","조달청","강원도 강릉시","일반(총액)협상에의한계약","2020/06/10 18:16(2020/07/01 10:00)"
"용역","20200615585-00","긴급","인천혜광학교 석면철거공사 감리용역 소액수의 견적제출 공고","인천광역시교육청 인천혜광학교","인천광역시교육청 인천혜광학교","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 18:16(2020/06/16 17:00)"
"용역","20200613045-00","일반","선박교통시설 설치·관리 개선 연구용역","해양경찰청","해양경찰청","제한(총액)협상에의한계약","2020/06/10 18:15(2020/06/22 12:00)"
"용역","20200615632-00","일반","낙안~상사간 국가지원지방도 확포장공사 건설폐기물(폐콘, 혼합) 처리용역","전라남도","전라남도","일반(총액)","2020/06/10 18:13(2020/06/18 10:00)"
"용역","20200615664-00","긴급","제1차 해양교육 및 해양문화의 활성화 기본계획 수립 연구","해양수산부","해양수산부","제한(총액)협상에의한계약","2020/06/10 18:13(2020/06/22 14:00)"
"용역","20200615305-01","변경","김천통합보건타운건립 도시계획시설결정(변경) 용역 (가격입찰 후 사업수행능력평가)","경상북도 김천시","경상북도 김천시","일반경쟁","2020/06/10 18:13(2020/06/17 14:00)"
"용역","20200615312-00","일반","상속세 전자신고 개발","조달청","국세청","수의(총액)","2020/06/10 18:09(2020/06/12 12:00)"
"용역","20200615653-00","일반","광영동 시민광장 및 다목적공연장 건축설계 용역 제안공모 공고","전라남도 광양시","전라남도 광양시","일반경쟁","2020/06/10 18:08(-)"
"용역","20200615649-00","일반","당감동 당감로25번길 일원 도로개설공사 폐기물처리용역","부산광역시 부산진구","부산광역시 부산진구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 18:08(2020/06/16 12:00)"
"용역","20200615652-00","일반","동해연구소 업무용 공용차량(카니발) 임차 용역","한국해양과학기술원","한국해양과학기술원","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 18:08(2020/06/15 10:00)"
"용역","20200615344-00","일반","2020년도 국가과학기술지식정보서비스 장비 유지보수 용역 사업","조달청","한국과학기술정보연구원","수의(총액)","2020/06/10 18:07(2020/06/12 12:00)"
"용역","20200615647-00","일반","11.15 지진피해 위험건축물(경림뉴소망타운 2동)철거공사 폐기물 운반용역","경상북도 포항시 건설교통사업본부","경상북도 포항시 건설교통사업본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 18:07(2020/06/16 10:00)"
"용역","20200615639-00","일반","날물,톱날류 유지보수 관리용역","산림조합중앙회 중부목재유통센터","산림조합중앙회 중부목재유통센터","일반(총액)","2020/06/10 18:06(2020/06/17 10:00)"
"용역","20200615464-01","취소","KBS사거리~삼산배수장 복개구조물 정밀안전진단용역","울산광역시 남구","울산광역시 남구","제한경쟁","2020/06/10 18:05(2020/06/16 10:00)"
"용역","20200615619-00","일반","배출권시장 파생상품 도입 효과 및 영향 분석","한국환경공단","한국환경공단","일반(총액)협상에의한계약","2020/06/10 18:04(2020/06/23 15:00)"
"용역","20200608940-00","일반","[국립대학육성사업]2020학년도 IR센터 데이터통합관리 시스템 구축 용역","조달청 대구지방조달청","안동대학교 기획처 전략평가본부 기획과","제한(총액)협상에의한계약","2020/06/10 18:04(2020/06/24 10:00)"
"용역","20200615627-00","일반","2020년도 충남대학교병원 사업장폐기물 위탁처리용역","충남대학교병원","충남대학교병원","일반(총액)","2020/06/10 18:03(2020/06/18 10:00)"
"용역","20200614254-00","일반","도시재생 뉴딜사업 부동산시장 동향 조사 용역","국토교통부","국토교통부","수의(총액)일반수의","2020/06/10 18:03(2020/06/11 15:00)"
"용역","20200608959-00","일반","금오공과대학교 종합정보시스템 개발프레임워크 구축사업","조달청 대구지방조달청","금오공과대학교","제한(총액)협상에의한계약","2020/06/10 18:03(2020/06/24 10:00)"
"용역","20200615437-00","긴급","감사보고서 기업분석 위탁교육","조달청 대전지방조달청","국세청","제한(총액)협상에의한계약","2020/06/10 18:01(2020/06/23 10:00)"
"용역","20200615610-00","일반","목우물외 하수관로 정비공사 폐기물처리용역","경상북도 성주군 상하수도사업소","경상북도 성주군 상하수도사업소","수의(총액)소액수의","2020/06/10 18:00(2020/06/16 10:00)"
"용역","20200614971-00","일반","국립광주과학관 2020년 스페이스360 신규 영상콘텐츠 임차 용역","국립광주과학관","국립광주과학관","제한(총액)협상에의한계약","2020/06/10 18:00(2020/07/21 10:00)"
"용역","20200615616-00","일반","11.15 지진피해 위험건축물(경림뉴소망타운 2동)철거공사 폐기물 처리용역","경상북도 포항시 건설교통사업본부","경상북도 포항시 건설교통사업본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 17:59(2020/06/16 10:00)"
"용역","20200613839-00","긴급","지능형 토지피복 자동분류 시스템 구축","조달청 대구지방조달청","한국정보화진흥원","수의(총액)","2020/06/10 17:59(2020/06/12 12:00)"
"용역","20200609862-00","긴급","한국해양대학교 연구실 안전관리시스템 구축 용역","조달청 부산지방조달청","한국해양대학교","제한(총액)협상에의한계약","2020/06/10 17:59(2020/06/23 10:00)"
"용역","20200615601-00","일반","개정 누리과정 운영 지원 자료 개발 연구","서울특별시교육청","서울특별시교육청","제한(총액)협상에의한계약","2020/06/10 17:57(2020/06/22 11:00)"
"용역","20200348094-01","취소","2020년 ASEAN 교통공무원 초청연수 위탁","조달청","국토교통부","일반(총액)협상에의한계약","2020/06/10 17:57(2020/05/07 10:00)"
"용역","20200615568-00","긴급","[긴급] 장산초 교실 증축 건설폐기물처리용역","광주광역시교육청 광주광역시서부교육지원청","광주광역시교육청 광주광역시서부교육지원청","제한(총액)","2020/06/10 17:56(2020/06/16 10:00)"
"용역","20200614844-00","일반","동두천시 장애인 스포츠 센터 조성사업 기본 및 실시설계(공모)","경기도 동두천시","경기도 동두천시","일반경쟁","2020/06/10 17:55(-)"
"용역","20200615567-00","일반","2020년 한국자산관리공사 국유 전문직업 및 영업(시설) 배상책임보험 보험사 선정 입찰(긴급)","한국자산관리공사국유재산관리","한국자산관리공사국유재산관리","제한(총액)","2020/06/10 17:55(2020/06/16 10:00)"
"용역","20200615156-00","일반","원자력시설 방사선감시시스템 전기, 통신 설치 및 철거용역 1식","한국원자력연구원","한국원자력연구원","제한(총액)규격가격동시","2020/06/10 17:54(2020/06/18 11:00)"
"용역","20200615405-00","일반","(긴급)지방하천(산본천) 준설공사 폐기물 처리 용역","경기도 군포시","경기도 군포시","제한(총액)","2020/06/10 17:54(2020/06/16 14:00)"
"용역","20200615587-00","일반","서서학동 장승배기로 인도정비사업 폐기물처리용역","전라북도 전주시 완산구","전라북도 전주시 완산구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 17:53(2020/06/16 10:00)"
"용역","20200615583-00","일반","부암동 신선마을 숨트는길 정비사업 실시설계용역","부산광역시 부산진구","부산광역시 부산진구","수의(총액)소액수의","2020/06/10 17:52(2020/06/16 12:00)"
"용역","20200614785-00","일반","동두천 산림치유원(산림복지단지) 조성계획 및 실시설계(공모)","경기도 동두천시","경기도 동두천시","일반경쟁","2020/06/10 17:52(-)"
"용역","20200615584-00","일반","11.15 지진피해 위험건축물(경림뉴소망타운 1동)철거공사 폐기물 운반용역","경상북도 포항시 건설교통사업본부","경상북도 포항시 건설교통사업본부","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/06/10 17:52(2020/06/16 10:00)"
